SUBJECT	SESSION	TRIAL	DATE	DELAY	ACTCUETIME	ACTSOA	ACTSTIMDUR	PRESENT	TARGET	RESP	RT
frans	1	1	12.01.2007	933,7	500,2	1000,4	1500,6	yes	2	yes	1892,6
frans	1	2	12.01.2007	616,9	500,2	1000,4	1500,6	no	0	no	1654
frans	1	3	12.01.2007	983,7	500,2	1000,4	867	yes	4	yes	847,1
frans	1	4	12.01.2007	833,7	500,2	1000,4	1017,1	no	0	no	1001,2
frans	1	5	12.01.2007	950,4	500,2	1000,4	516,9	yes	1	yes	510,7
frans	1	6	12.01.2007	833,7	500,2	1000,4	817	yes	4	no	802,7
frans	1	7	12.01.2007	850,3	500,3	1000,4	16,7	no	0	no	0
frans	1	8	12.01.2007	850,4	500,2	1000,4	583,6	yes	1	yes	571,3
frans	1	9	12.01.2007	900,4	500,2	1000,4	983,7	no	0	yes	975,4
frans	1	10	12.01.2007	800,3	500,5	1000,4	1017,1	yes	3	no	999,4
frans	1	11	12.01.2007	867	500,2	1000,4	800,3	yes	4	yes	780,1
frans	1	12	12.01.2007	983,7	500,2	1000,4	1333,9	no	0	no	1322,9
frans	1	13	12.01.2007	900,4	500,2	1000,4	1483,9	yes	4	no	1472,2
frans	1	14	12.01.2007	616,9	500,2	1000,4	1433,9	no	0	no	1416,6
frans	1	15	12.01.2007	550,2	500,2	1000,4	867	yes	3	no	847,3
frans	1	16	12.01.2007	850,4	500,2	1000,4	1400,6	yes	2	yes	1384,8
frans	1	17	12.01.2007	833,7	500,2	1000,4	900,4	no	0	no	891,4
frans	1	18	12.01.2007	616,9	500,2	1000,4	683,6	yes	1	yes	673,4
frans	1	19	12.01.2007	683,6	500,2	1000,4	1050,4	no	0	yes	1037,7
frans	1	20	12.01.2007	600,2	500,2	1000,4	1450,6	yes	4	no	1435,9
